city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Vaini,TO,-21.2,-175.2,73.56,100,100,10.36,light rain
1,Kigonsera,TZ,-10.8,35.05,65.5,82,100,2.08,overcast clouds
2,Vanimo,PG,-2.6741,141.3028,83.01,73,100,4.14,overcast clouds
3,Noumea,NC,-22.2763,166.4572,78.78,87,24,14.36,few clouds
4,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,22,0,26.46,clear sky
5,Guerrero Negro,MX,27.9769,-114.0611,58.84,64,0,2.35,clear sky
6,Rikitea,PF,-23.1203,-134.9692,79.12,73,4,16.69,clear sky
7,Kedrovyy,RU,56.1667,91.8167,28.81,78,1,8.84,clear sky
8,Clyde River,CA,70.4692,-68.5914,-37.48,90,72,3.98,broken clouds
9,Ushuaia,AR,-54.8,-68.3,54.43,87,100,9.08,overcast clouds
10,Cherskiy,RU,68.75,161.3,-30.66,100,23,1.74,few clouds
11,Samarai,PG,-10.6167,150.6667,82.63,77,92,13.58,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,56.48,64,0,4.56,clear sky
13,Nantucket,US,41.2835,-70.0995,37.51,78,100,10.36,overcast clouds
14,Faanui,PF,-16.4833,-151.75,81.27,76,98,20.89,light rain
15,Jamestown,US,42.097,-79.2353,27.72,45,100,1.99,overcast clouds
16,Pevek,RU,69.7008,170.3133,-25.4,99,24,2.46,few clouds
17,Saint-Philippe,RE,-21.3585,55.7679,85.55,80,100,15.41,overcast clouds
18,Sioux Lookout,CA,50.1001,-91.917,-9.42,100,97,4.38,overcast clouds
19,Hrubieszów,PL,50.805,23.8925,35.35,98,100,10.42,overcast clouds
20,Bluff,NZ,-46.6,168.3333,56.8,71,0,11.7,clear sky
21,La Ronge,CA,55.1001,-105.2842,30.16,90,50,9.28,scattered clouds
22,Hilo,US,19.7297,-155.09,69.53,84,40,0.0,scattered clouds
23,Kapaa,US,22.0752,-159.319,73.72,82,75,13.8,broken clouds
24,Touros,BR,-5.1989,-35.4608,74.3,70,100,10.38,overcast clouds
25,Saskylakh,RU,71.9167,114.0833,-25.06,99,94,4.7,overcast clouds
26,Albany,US,42.6001,-73.9662,20.17,83,78,2.1,broken clouds
27,Hermanus,ZA,-34.4187,19.2345,71.91,80,100,1.59,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,72.55,95,55,7.25,broken clouds
29,Khatanga,RU,71.9667,102.5,-20.88,98,97,9.24,overcast clouds
30,Mabaruma,GY,8.2,-59.7833,72.72,96,100,2.3,overcast clouds
31,St. George's,GD,12.0564,-61.7485,78.48,83,40,13.8,scattered clouds
32,Bredasdorp,ZA,-34.5322,20.0403,71.28,52,38,4.56,scattered clouds
33,Valparaíso,CL,-33.0393,-71.6273,64.47,85,100,4.61,overcast clouds
34,Arraial do Cabo,BR,-22.9661,-42.0278,74.73,93,1,13.53,clear sky
35,Lebu,CL,-37.6167,-73.65,57.54,93,11,12.48,few clouds
36,Porto Santo,PT,33.072,-16.3415,62.51,63,40,12.66,scattered clouds
37,Butaritari,KI,3.0707,172.7902,82.09,76,94,15.37,light rain
38,Cidreira,BR,-30.1811,-50.2056,65.34,70,0,12.33,clear sky
39,Hobart,AU,-42.8794,147.3294,79.02,50,20,1.01,few clouds
40,Buin,CL,-33.7333,-70.75,74.73,64,0,1.03,clear sky
41,Ziarat,PK,30.3823,67.7282,41.0,28,0,6.42,clear sky
42,Saint Paul Harbor,US,57.79,-152.4072,33.31,51,0,4.61,clear sky
43,Atuona,PF,-9.8,-139.0333,78.94,76,45,18.05,scattered clouds
44,Soria,ES,41.6667,-2.6667,33.01,74,6,2.86,clear sky
45,Sokolovo,RU,52.5318,84.7896,17.85,82,69,3.85,broken clouds
46,Torbay,CA,47.6666,-52.7314,10.76,82,22,3.0,few clouds
47,Bambous Virieux,MU,-20.3428,57.7575,85.21,74,40,11.5,light rain
48,Linxia Chengguanzhen,CN,35.6003,103.2064,21.69,66,63,2.15,broken clouds
49,Port-Cartier,CA,50.0334,-66.8654,4.75,96,100,1.68,light snow
50,Shelburne,CA,44.0787,-80.2041,24.12,80,100,12.62,overcast clouds
51,Oranjemund,NA,-28.55,16.4333,72.43,62,0,4.27,clear sky
52,Ruidoso,US,33.3317,-105.673,28.56,90,100,5.75,overcast clouds
53,Castro,BR,-24.7911,-50.0119,57.94,95,0,3.29,clear sky
54,Alyangula,AU,-13.8483,136.4192,85.78,63,100,3.47,overcast clouds
55,Pychas,RU,56.5033,52.4409,18.05,92,100,2.66,light snow
56,Tiznit Province,MA,29.5833,-9.5,58.42,24,6,8.39,clear sky
57,Tuktoyaktuk,CA,69.4541,-133.0374,-16.58,96,100,13.96,overcast clouds
58,Chilapa,MX,22.032,-105.2317,65.23,84,97,0.92,overcast clouds
59,Carnarvon,AU,-24.8667,113.6333,80.06,43,0,20.74,clear sky
60,Hasaki,JP,35.7333,140.8333,46.8,39,47,8.1,scattered clouds
61,Caravelas,BR,-17.7125,-39.2481,74.64,92,1,5.08,clear sky
62,Auki,SB,-8.7676,160.7034,81.45,83,100,10.4,overcast clouds
